fact_check_id,post_id,claim_lang,ocr_lang,pair_lang
3889,1547,,"[('spa', 0.7392313480377197), ('eo', 0.1710008978843689), ('ita', 0.08976779133081436)]","(None, [('spa', 0.7392313480377197), ('eo', 0.1710008978843689), ('ita', 0.08976779133081436)])"
3889,2906,,"[('spa', 1.0)]","(None, [('spa', 1.0)])"
3889,9637,,,"(None, None)"
3889,15311,,,"(None, nan)"
3889,15312,,,"(None, nan)"
3889,15313,,,"(None, nan)"
3889,25590,,,"(None, nan)"
3889,25633,,,"(None, nan)"
3943,15387,,,"(None, nan)"
3999,1770,,"[('por', 0.9942585229873657)]","(None, [('por', 0.9942585229873657)])"
3999,1771,,"[('por', 1.0)]","(None, [('por', 1.0)])"
3999,2365,,"[('por', 1.0)]","(None, [('por', 1.0)])"
3999,3246,,"[('por', 0.9274680018424988), ('eng', 0.038969386368989944)]","(None, [('por', 0.9274680018424988), ('eng', 0.038969386368989944)])"
3999,9144,,"[('por', 1.0)]","(None, [('por', 1.0)])"
3999,15470,,,"(None, nan)"
4095,16951,,,"(None, nan)"
4118,20216,,"[('eng', 0.944485068321228)]","(None, [('eng', 0.944485068321228)])"
4355,18913,,,"(None, nan)"
4388,10440,,,"(None, None)"
4404,4533,,,"(None, nan)"
4404,27749,,"[('por', 0.9328184723854065), ('eng', 0.0671815350651741)]","(None, [('por', 0.9328184723854065), ('eng', 0.0671815350651741)])"
4437,231,,"[('eng', 0.9322265386581421)]","(None, [('eng', 0.9322265386581421)])"
4437,19334,,,"(None, nan)"
4437,21617,,,"(None, nan)"
4439,16045,,,"(None, nan)"
4536,5034,,,"(None, nan)"
4629,16972,,,"(None, nan)"
4685,1766,,"[('spa', 0.6774508357048035), ('por', 0.32254913449287415)]","(None, [('spa', 0.6774508357048035), ('por', 0.32254913449287415)])"
4685,1767,,"[('por', 1.0)]","(None, [('por', 1.0)])"
4700,9251,,"[('spa', 0.9884195327758789)]","(None, [('spa', 0.9884195327758789)])"
4700,10793,,,"(None, None)"
4700,11170,,"[('spa', 0.9878870844841003)]","(None, [('spa', 0.9878870844841003)])"
4700,17974,,,"(None, None)"
4803,17691,,,"(None, None)"
4895,40,,"[('por', 0.814455509185791), ('lb', 0.1855444759130478)]","(None, [('por', 0.814455509185791), ('lb', 0.1855444759130478)])"
4895,18827,,,"(None, nan)"
4895,27578,,"[('por', 0.8159128427505493), ('lb', 0.18408715724945068)]","(None, [('por', 0.8159128427505493), ('lb', 0.18408715724945068)])"
4895,27581,,"[('por', 0.819354236125946), ('lb', 0.18064577877521515)]","(None, [('por', 0.819354236125946), ('lb', 0.18064577877521515)])"
4895,27586,,"[('por', 0.8204615116119385), ('lb', 0.1795385181903839)]","(None, [('por', 0.8204615116119385), ('lb', 0.1795385181903839)])"
4909,18134,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
4961,10451,,,"(None, None)"
4961,18388,,"[('spa', 0.7670556306838989), ('cat', 0.08721589297056198)]","(None, [('spa', 0.7670556306838989), ('cat', 0.08721589297056198)])"
5112,3002,,,"(None, None)"
5112,27764,,"[('spa', 0.8429981470108032), ('ita', 0.15700185298919678)]","(None, [('spa', 0.8429981470108032), ('ita', 0.15700185298919678)])"
5116,17923,,,"(None, None)"
5127,1869,,"[('deu', 0.7832180261611938), ('eng', 0.030986353754997253), ('nor', 0.022039862349629402), ('ita', 0.019124653190374374), ('eo', 0.012483948841691017), ('pol', 0.007755576632916927), ('dan', 0.005276114214211702)]","(None, [('deu', 0.7832180261611938), ('eng', 0.030986353754997253), ('nor', 0.022039862349629402), ('ita', 0.019124653190374374), ('eo', 0.012483948841691017), ('pol', 0.007755576632916927), ('dan', 0.005276114214211702)])"
5166,10912,,"[('eng', 0.9298782348632812), ('fin', 0.06040649488568306)]","(None, [('eng', 0.9298782348632812), ('fin', 0.06040649488568306)])"
5166,19181,,,"(None, nan)"
5214,8647,,,"(None, None)"
5346,27727,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
5498,2049,,"[('eng', 0.9665358662605286)]","(None, [('eng', 0.9665358662605286)])"
5498,8537,,,"(None, None)"
6133,9435,,"[('spa', 1.0)]","(None, [('spa', 1.0)])"
6248,8853,,,"(None, None)"
6349,21319,,"[('nld', 0.8939934372901917), ('spa', 0.036291103810071945), ('deu', 0.025245552882552147), ('hbs', 0.014426590874791145), ('eu', 0.009855280630290508)]","(None, [('nld', 0.8939934372901917), ('spa', 0.036291103810071945), ('deu', 0.025245552882552147), ('hbs', 0.014426590874791145), ('eu', 0.009855280630290508)])"
6399,27611,,"[('spa', 0.7248459458351135), ('por', 0.10429312288761139), ('eng', 0.08457247912883759)]","(None, [('spa', 0.7248459458351135), ('por', 0.10429312288761139), ('eng', 0.08457247912883759)])"
6405,15562,,,"(None, nan)"
6424,50,,"[('por', 0.9044483304023743), ('ha', 0.09555165469646454)]","(None, [('por', 0.9044483304023743), ('ha', 0.09555165469646454)])"
6425,26978,,"[('eng', 0.5285659432411194), ('fra', 0.4714340269565582)]","(None, [('eng', 0.5285659432411194), ('fra', 0.4714340269565582)])"
6428,5767,,,"(None, nan)"
6429,20946,,,"(None, None)"
7111,6408,,"[('eng', 0.6758472919464111), ('lv', 0.036596570163965225)]","(None, [('eng', 0.6758472919464111), ('lv', 0.036596570163965225)])"
7168,26986,,,"(None, None)"
7276,26940,,"[('eng', 0.9259135723114014), ('af', 0.04992125555872917)]","(None, [('eng', 0.9259135723114014), ('af', 0.04992125555872917)])"
7281,21505,,,"(None, nan)"
7355,22870,,"[('ara', 0.5533576607704163), ('eng', 0.31679385900497437), ('fas', 0.12984848022460938)]","(None, [('ara', 0.5533576607704163), ('eng', 0.31679385900497437), ('fas', 0.12984848022460938)])"
7372,23682,,"[('ara', 0.7461302876472473), ('eng', 0.2538696825504303)]","(None, [('ara', 0.7461302876472473), ('eng', 0.2538696825504303)])"
7679,3275,,,"(None, None)"
7679,5701,,,"(None, nan)"
7690,3447,,,"(None, None)"
7698,3666,,,"(None, None)"
7698,3667,,,"(None, None)"
7698,22128,,,"(None, nan)"
7710,3828,,,"(None, None)"
7714,3886,,,"(None, None)"
7715,3903,,"[('por', 0.5581021308898926), ('eng', 0.4418978989124298)]","(None, [('por', 0.5581021308898926), ('eng', 0.4418978989124298)])"
7719,23053,,,"(None, None)"
7736,27369,,,"(None, None)"
7743,3912,,,"(None, None)"
7750,3919,,,"(None, None)"
7789,137,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
7789,1872,,"[('eng', 0.8421287536621094), ('por', 0.018298214301466942)]","(None, [('eng', 0.8421287536621094), ('por', 0.018298214301466942)])"
7789,5853,,,"(None, nan)"
7793,4841,,,"(None, nan)"
7803,666,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
7803,7423,,,"(None, None)"
7803,7424,,,"(None, None)"
7803,11228,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
7811,3014,,,"(None, None)"
7848,6818,,"[('msa', 0.5371883511543274), ('msa', 0.462811678647995)]","(None, [('msa', 0.5371883511543274), ('msa', 0.462811678647995)])"
7848,6819,,"[('msa', 0.5235803723335266), ('msa', 0.4764196276664734)]","(None, [('msa', 0.5235803723335266), ('msa', 0.4764196276664734)])"
7852,23982,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
7869,12748,,"[('eng', 1.0)]","(None, [('eng', 1.0)])"
7869,16244,,,"(None, nan)"
7869,19728,,"[('eng', 0.9989283084869385)]","(None, [('eng', 0.9989283084869385)])"
7922,21949,,,"(None, nan)"
7954,8464,,"[('eng', 0.6015766263008118), ('nld', 0.19080637395381927)]","(None, [('eng', 0.6015766263008118), ('nld', 0.19080637395381927)])"
7956,6999,,,"(None, None)"
7957,1988,,"[('eng', 0.9315822124481201), ('la', 0.030802680179476738)]","(None, [('eng', 0.9315822124481201), ('la', 0.030802680179476738)])"
7974,5026,,,"(None, nan)"
8017,1976,,"[('spa', 0.855252206325531), ('eng', 0.07190899550914764), ('eng', 0.025295540690422058), ('ilo', 0.021985281258821487)]","(None, [('spa', 0.855252206325531), ('eng', 0.07190899550914764), ('eng', 0.025295540690422058), ('ilo', 0.021985281258821487)])"
8017,11806,,"[('por', 0.4604998826980591), ('eng', 0.3022361099720001), ('spa', 0.22326920926570892)]","(None, [('por', 0.4604998826980591), ('eng', 0.3022361099720001), ('spa', 0.22326920926570892)])"
8031,3814,,"[('eng', 0.9890903830528259)]","(None, [('eng', 0.9890903830528259)])"
8047,19638,,"[('eng', 0.5528532266616821)]","(None, [('eng', 0.5528532266616821)])"
8048,21293,,,"(None, None)"
8051,7418,,,"(None, None)"
8073,23766,,,"(None, None)"
8077,2967,,,"(None, None)"
8077,19792,,,"(None, None)"
8077,20764,,"[('nor', 0.21738816797733307), ('eng', 0.20066983997821808)]","(None, [('nor', 0.21738816797733307), ('eng', 0.20066983997821808)])"
8077,20766,,"[('nor', 0.2040901929140091), ('eng', 0.19365324079990387)]","(None, [('nor', 0.2040901929140091), ('eng', 0.19365324079990387)])"
8144,4021,,,"(None, None)"
8144,24998,,,"(None, nan)"
8145,25289,,,"(None, nan)"
8145,25290,,,"(None, nan)"
8263,10105,,"[('spa', 0.8371341824531555), ('eng', 0.03203148394823074), ('ilo', 0.02319359965622425), ('eu', 0.015578853897750378)]","(None, [('spa', 0.8371341824531555), ('eng', 0.03203148394823074), ('ilo', 0.02319359965622425), ('eu', 0.015578853897750378)])"
8263,15416,,,"(None, nan)"
8513,24361,,,"(None, None)"
8530,23353,,,"(None, None)"
8594,13361,,"[('fra', 0.39952751994132996), ('eng', 0.19228766858577728), ('ht', 0.14348281919956207), ('spa', 0.11065305769443512), ('deu', 0.075340136885643)]","(None, [('fra', 0.39952751994132996), ('eng', 0.19228766858577728), ('ht', 0.14348281919956207), ('spa', 0.11065305769443512), ('deu', 0.075340136885643)])"
8594,13362,,"[('fra', 0.4895536005496979), ('eng', 0.20443803071975708), ('ht', 0.12338043749332428), ('spa', 0.1184832975268364)]","(None, [('fra', 0.4895536005496979), ('eng', 0.20443803071975708), ('ht', 0.12338043749332428), ('spa', 0.1184832975268364)])"
8594,13363,,"[('fra', 0.7258285880088806), ('spa', 0.10862353444099426)]","(None, [('fra', 0.7258285880088806), ('spa', 0.10862353444099426)])"
8600,22078,,,"(None, nan)"
8600,26053,,,"(None, nan)"
8600,26562,,,"(None, nan)"
8600,26711,,,"(None, None)"
8679,19169,,,"(None, nan)"
8679,21377,,"[('eng', 0.9278246164321899)]","(None, [('eng', 0.9278246164321899)])"
8700,15686,,,"(None, nan)"
8701,15686,,,"(None, nan)"
8712,16386,,,"(None, nan)"
8726,20036,,"[('deu', 0.8660493493080139), ('bm', 0.04860193282365799), ('eng', 0.013353808782994747)]","(None, [('deu', 0.8660493493080139), ('bm', 0.04860193282365799), ('eng', 0.013353808782994747)])"
8726,22348,,,"(None, nan)"
8729,25375,,,"(None, nan)"
8733,18109,,,"(None, None)"
8778,21991,,,"(None, nan)"
8800,6737,,,"(None, None)"
8800,21337,,"[('eng', 0.6642797589302063)]","(None, [('eng', 0.6642797589302063)])"
8825,24482,,,"(None, None)"
8857,4164,,,"(None, nan)"
8857,4482,,,"(None, nan)"
8857,4483,,,"(None, nan)"
8857,25586,,,"(None, nan)"
8905,19947,,,"(None, None)"
8925,12811,,,"(None, None)"
8926,2945,,"[('eng', 0.543016254901886), ('rus', 0.456983745098114)]","(None, [('eng', 0.543016254901886), ('rus', 0.456983745098114)])"
8926,4493,,,"(None, nan)"
8930,2990,,,"(None, None)"
8930,13924,,,"(None, None)"
8930,17699,,,"(None, None)"
8955,7416,,,"(None, None)"
8956,10765,,,"(None, None)"
8959,26949,,"[('eng', 0.40591949224472046), ('eu', 0.07448622584342957)]","(None, [('eng', 0.40591949224472046), ('eu', 0.07448622584342957)])"
8960,27736,,"[('ara', 0.745119571685791), ('eng', 0.1954544484615326)]","(None, [('ara', 0.745119571685791), ('eng', 0.1954544484615326)])"
8968,4419,,,"(None, nan)"
8968,11601,,"[('deu', 1.0)]","(None, [('deu', 1.0)])"
8968,21718,,,"(None, nan)"
8975,4500,,,"(None, nan)"
8975,4501,,,"(None, nan)"
9008,15889,,,"(None, nan)"
9026,11849,,"[('eng', 0.8762893676757812), ('fil', 0.06568484753370285), ('fra', 0.01718433015048504), ('spa', 0.016414295881986618), ('por', 0.00908348523080349)]","(None, [('eng', 0.8762893676757812), ('fil', 0.06568484753370285), ('fra', 0.01718433015048504), ('spa', 0.016414295881986618), ('por', 0.00908348523080349)])"
9058,18489,,,"(None, nan)"
9071,4507,,,"(None, nan)"
9114,4505,,,"(None, nan)"
9114,16200,,,"(None, nan)"
9158,4523,,,"(None, nan)"
9158,14661,,,"(None, nan)"
9199,13566,,"[('fra', 0.9779408574104309)]","(None, [('fra', 0.9779408574104309)])"
9237,5077,,,"(None, nan)"
9237,27072,,,"(None, None)"
9239,17098,,,"(None, nan)"
9240,12714,,"[('eng', 0.9779305458068848)]","(None, [('eng', 0.9779305458068848)])"
9255,4530,,,"(None, nan)"
9319,17316,,,"(None, nan)"
9330,25839,,,"(None, nan)"
9334,5097,,,"(None, nan)"
9334,14076,,,"(None, None)"
9368,22531,,"[('ces', 0.7987274527549744), ('slk', 0.14744605123996735), ('eng', 0.05382651463150978)]","(None, [('ces', 0.7987274527549744), ('slk', 0.14744605123996735), ('eng', 0.05382651463150978)])"
9369,4542,,,"(None, nan)"
9369,21867,,,"(None, nan)"
9370,9468,,,"(None, None)"
9410,12404,,"[('eng', 0.7746047973632812)]","(None, [('eng', 0.7746047973632812)])"
9418,14921,,,"(None, nan)"
9429,7466,,,"(None, None)"
9449,11336,,"[('eng', 0.9463085532188416), ('eng', 0.03761624917387962)]","(None, [('eng', 0.9463085532188416), ('eng', 0.03761624917387962)])"
9470,24879,,,"(None, nan)"
9547,18103,,,"(None, None)"
9571,21316,,"[('deu', 0.6891642212867737)]","(None, [('deu', 0.6891642212867737)])"
9584,19305,,,"(None, nan)"
9599,21509,,,"(None, nan)"
9633,344,,"[('kor', 0.9851597547531128)]","(None, [('kor', 0.9851597547531128)])"
9633,4751,,,"(None, nan)"
9634,27918,,,"(None, None)"
9641,14973,,,"(None, nan)"
9653,26723,,,"(None, None)"
9656,2672,,"[('kor', 1.0)]","(None, [('kor', 1.0)])"
9657,2346,,"[('kor', 0.8526782989501953), ('eng', 0.04661361873149872)]","(None, [('kor', 0.8526782989501953), ('eng', 0.04661361873149872)])"
9658,26666,,,"(None, None)"
9659,2300,,"[('kor', 0.9318751096725464)]","(None, [('kor', 0.9318751096725464)])"
9659,25812,,,"(None, nan)"
9660,2500,,"[('kor', 0.8476672172546387)]","(None, [('kor', 0.8476672172546387)])"
9660,26605,,,"(None, nan)"
9660,26631,,"[('kor', 0.8919763565063477), ('rus', 0.09747854620218277)]","(None, [('kor', 0.8919763565063477), ('rus', 0.09747854620218277)])"
9675,27047,,"[('spa', 0.9658089876174927), ('por', 0.020027870312333107), ('eng', 0.01416313648223877)]","(None, [('spa', 0.9658089876174927), ('por', 0.020027870312333107), ('eng', 0.01416313648223877)])"
9682,21131,,,"(None, None)"
9692,8749,,"[('por', 0.7090455293655396)]","(None, [('por', 0.7090455293655396)])"
9692,17624,,"[('por', 0.633043110370636)]","(None, [('por', 0.633043110370636)])"
9699,18394,,,"(None, None)"
9700,16649,,,"(None, nan)"
9700,16650,,,"(None, nan)"
9712,20067,,,"(None, None)"
9723,11323,,,"(None, None)"
9723,26804,,,"(None, None)"
9725,19769,,,"(None, None)"
9728,335,,"[('spa', 0.9455348253250122), ('spa', 0.04282854497432709), ('eng', 0.011636646464467049)]","(None, [('spa', 0.9455348253250122), ('spa', 0.04282854497432709), ('eng', 0.011636646464467049)])"
9731,16189,,,"(None, nan)"
9758,9011,,"[('spa', 0.9015299081802368), ('ceb', 0.07890301197767258)]","(None, [('spa', 0.9015299081802368), ('ceb', 0.07890301197767258)])"
9758,9739,,"[('spa', 0.9016068577766418), ('ceb', 0.07886220514774323)]","(None, [('spa', 0.9016068577766418), ('ceb', 0.07886220514774323)])"
9758,21424,,"[('spa', 0.9015299081802368), ('ceb', 0.07890301197767258)]","(None, [('spa', 0.9015299081802368), ('ceb', 0.07890301197767258)])"
9759,3641,,"[('spa', 0.9540216326713562), ('ita', 0.04597838968038559)]","(None, [('spa', 0.9540216326713562), ('ita', 0.04597838968038559)])"
9759,9309,,"[('spa', 0.9104388356208801), ('ita', 0.044990282505750656), ('qu', 0.044570911675691605)]","(None, [('spa', 0.9104388356208801), ('ita', 0.044990282505750656), ('qu', 0.044570911675691605)])"
9759,10398,,"[('spa', 0.9114413261413574), ('qu', 0.04473729804158211), ('ita', 0.04382140189409256)]","(None, [('spa', 0.9114413261413574), ('qu', 0.04473729804158211), ('ita', 0.04382140189409256)])"
9759,11075,,"[('spa', 0.9094418287277222), ('por', 0.04536403343081474), ('qu', 0.0451941154897213)]","(None, [('spa', 0.9094418287277222), ('por', 0.04536403343081474), ('qu', 0.0451941154897213)])"
9759,18153,,"[('spa', 0.9535847306251526), ('ita', 0.04351858049631119)]","(None, [('spa', 0.9535847306251526), ('ita', 0.04351858049631119)])"
9789,18507,,,"(None, nan)"
9790,18507,,,"(None, nan)"
9824,12118,,"[('msa', 0.5497184991836548), ('eng', 0.36452287435531616), ('ha', 0.04703906923532486)]","(None, [('msa', 0.5497184991836548), ('eng', 0.36452287435531616), ('ha', 0.04703906923532486)])"
9827,14563,,,"(None, nan)"
9902,4602,,,"(None, nan)"
9902,4603,,,"(None, nan)"
9902,27909,,,"(None, None)"
9922,23821,,,"(None, None)"
9922,24251,,"[('hin', 1.0)]","(None, [('hin', 1.0)])"
9922,24386,,"[('hin', 0.9889776110649109)]","(None, [('hin', 0.9889776110649109)])"
10030,3353,,"[('spa', 1.0)]","(None, [('spa', 1.0)])"
10030,3354,,"[('spa', 1.0)]","(None, [('spa', 1.0)])"
10030,7996,,"[('spa', 1.0)]","(None, [('spa', 1.0)])"
10045,9807,,"[('spa', 0.7926604747772217), ('por', 0.20733954012393951)]","(None, [('spa', 0.7926604747772217), ('por', 0.20733954012393951)])"
10047,219,,"[('eng', 0.4905987083911896), ('fra', 0.3694394528865814), ('fin', 0.03737333044409752), ('dan', 0.015972821041941643), ('cat', 0.007979528047144413)]","(None, [('eng', 0.4905987083911896), ('fra', 0.3694394528865814), ('fin', 0.03737333044409752), ('dan', 0.015972821041941643), ('cat', 0.007979528047144413)])"
10054,21641,,,"(None, nan)"
10054,27248,,,"(None, None)"
10057,2940,,"[('eng', 0.8627699613571167)]","(None, [('eng', 0.8627699613571167)])"
10076,4620,,,"(None, nan)"
10110,11519,,"[('deu', 0.6681113839149475), ('eng', 0.2946270704269409)]","(None, [('deu', 0.6681113839149475), ('eng', 0.2946270704269409)])"
10110,27470,,"[('deu', 0.6599892377853394), ('eng', 0.2905190885066986)]","(None, [('deu', 0.6599892377853394), ('eng', 0.2905190885066986)])"
10113,23406,,,"(None, None)"
10120,4071,,"[('zho', 0.9268189072608948)]","(None, [('zho', 0.9268189072608948)])"
10120,26117,,,"(None, nan)"
10132,20476,,"[('slk', 0.6454343199729919), ('eng', 0.09443814307451248)]","(None, [('slk', 0.6454343199729919), ('eng', 0.09443814307451248)])"
10179,4631,,,"(None, nan)"
10212,4541,,,"(None, nan)"
10291,13479,,"[('por', 0.4774211049079895), ('cat', 0.31271007657051086), ('spa', 0.20986880362033844)]","(None, [('por', 0.4774211049079895), ('cat', 0.31271007657051086), ('spa', 0.20986880362033844)])"
10299,19691,,"[('deu', 0.8025621175765991), ('eng', 0.13440227508544922), ('fin', 0.018159592524170876)]","(None, [('deu', 0.8025621175765991), ('eng', 0.13440227508544922), ('fin', 0.018159592524170876)])"
10340,209,,"[('deu', 0.8837551474571228), ('eng', 0.11624486744403839)]","(None, [('deu', 0.8837551474571228), ('eng', 0.11624486744403839)])"
10340,12919,,"[('deu', 0.8631436824798584), ('eng', 0.1118139699101448), ('ga', 0.025042328983545303)]","(None, [('deu', 0.8631436824798584), ('eng', 0.1118139699101448), ('ga', 0.025042328983545303)])"
10382,19229,,,"(None, nan)"
10388,6916,,"[('spa', 1.0)]","(None, [('spa', 1.0)])"
10388,8297,,"[('spa', 1.0)]","(None, [('spa', 1.0)])"
10388,27570,,"[('spa', 1.0)]","(None, [('spa', 1.0)])"
10411,4655,,,"(None, nan)"
10412,20912,,,"(None, None)"
10421,17654,,"[('por', 0.5228953957557678), ('eng', 0.41242051124572754), ('msa', 0.04309908673167229)]","(None, [('por', 0.5228953957557678), ('eng', 0.41242051124572754), ('msa', 0.04309908673167229)])"
10423,4657,,,"(None, nan)"
10423,4658,,,"(None, nan)"
10423,17654,,"[('por', 0.5228953957557678), ('eng', 0.41242051124572754), ('msa', 0.04309908673167229)]","(None, [('por', 0.5228953957557678), ('eng', 0.41242051124572754), ('msa', 0.04309908673167229)])"
10441,27314,,,"(None, None)"
10445,4660,,,"(None, nan)"
10448,10898,,"[('eng', 0.9853649139404297)]","(None, [('eng', 0.9853649139404297)])"
10453,291,,"[('fra', 1.0)]","(None, [('fra', 1.0)])"
10454,20353,,"[('fra', 0.8687727451324463)]","(None, [('fra', 0.8687727451324463)])"
10454,20369,,"[('fra', 0.7521857619285583), ('eng', 0.12838813662528992), ('ita', 0.03208056092262268)]","(None, [('fra', 0.7521857619285583), ('eng', 0.12838813662528992), ('ita', 0.03208056092262268)])"
10473,22734,,"[('bul', 0.7809319496154785), ('tg', 0.062430161982774734), ('eng', 0.04060118645429611)]","(None, [('bul', 0.7809319496154785), ('tg', 0.062430161982774734), ('eng', 0.04060118645429611)])"
10494,25361,,,"(None, nan)"
10497,7059,,,"(None, None)"
10498,4665,,,"(None, nan)"
10498,7059,,,"(None, None)"
10508,13833,,"[('eng', 0.8807757496833801)]","(None, [('eng', 0.8807757496833801)])"
10508,16111,,,"(None, nan)"
10508,16112,,,"(None, nan)"
10512,5159,,,"(None, nan)"
10512,12575,,,"(None, None)"
